코드	파일수	기정독동일계열	원료명
610314	1	0	DONKEY MILK SOLUTION(동키 솔루션)
610317	1	0	DOUBLE COLLAGEN LIPOSOME
610392	2	0	FLAMENCO SATIN PEARL
610393	2	0	FLAMENCO SUPER GOLD
610410	2	0	GRAPEFRUIT EXTRACT(P)
610451	2	0	효모구기자 발효추출여과물
610452	2	0	효모동충하초 발효 여과물
610463	2	0	효모홍삼발효여과물
610465	2	0	화이트닝-마스크COMPLEX
610471	2	0	화이트닝-마스크COMPLEX(H)
610618	2	0	MIRAPOL 550SB
610630	1	0	MEADOWSWEETMARSHMALLOW EXTRACT
610637	2	0	모공-마스크COMPLEX
610638	2	0	모공-앰플COMPLEX
610690	2	0	NANOPLATINUM GINSENOSIDE SOLUTION
610692	2	0	NATURAL 3FF COMPLEX
610711	2	0	누에EXTRACT(HD)
610732	2	0	OSMOPUR
610736	1	0	온천수
610770	2	0	프로폴리스추출물(사용안함)
610771	2	0	PHYTONCIDE NUT PINE OIL
610834	2	0	알레스카 빙하수
610841	2	0	ROSA CENTIFOLIA FLOWER WATER(P)
610870	1	0	SECRET HYDRA COMPLEX(시크릿 하이드라 컴플렉스)
610875	1	0	송이버섯추출물(TRICHOLOMA MATSUTAKE EXTRACT)
610988	2	0	Sunsoft Q-192Y-C
611036	2	0	티트리추출물-TE
611038	2	0	T.W-앰플COMPLEX
611039	2	0	트러블-마스크COMPLEX
611046	2	0	트러블-마스크COMPLEX(H)
611064	2	0	UAK-12HD(1,2-HEXANDIOL)
611080	1	0	VITA FLOWER COMPLEX
611085	2	0	VITIS VINIFERA (GRAPE) FRUIT WATER(H)(P)
611205	2	0	ADORABLE 1
611270	1	0	FRAG-50216
611271	1	0	FRAG-27998
611272	1	0	FRAG-29586
611274	1	0	FRAG-50215
611275	2	0	FRAG-27989
611282	1	0	FRAG-32342
611283	2	0	FRAG-27578
611309	2	0	GDK-270820
611314	2	0	구달수분장벽크림
611354	1	0	LOLITA-6169B
611395	1	0	PK-6H61665
611411	2	0	ROSE-50411
611421	2	0	SKIN ENERGY FR7018548
611443	2	0	SKIN CARE SCP 1605515
611481	2	0	VANI-5273B
611535	1	0	SKIN CARE EA 09715
611594	1	0	골든캡슐앰플향
611605	2	0	ROSE ESSENTIAL OIL
611698	1	0	SKIN CARE S1900673
611699	1	0	SKIN CARE S1900674
611784	2	0	Skin Energy A CSN038626
611841	1	0	에델바이스캘러스배양추출물
611854	2	0	KAOLIN-WJP
611859	2	0	BODYCARE B75367
611947	1	0	AMP ULTRA PC 2000
611979	2	0	CAR COMPLEX(HD)
